,text,label
18,39 4 565 339 1 488 570 2 32 13 693 387 1 13 101 56 10 10 10,1
19,335 160 84 69 175 4 174 2123 124 842 183 796 8 175 1002 1102 777 178 9 389 3649 2 711 622 361 273 94 129 28 560 107 406 15 84 69 9 485 711 361 273,1
20,134 122 17 10,1
21,60 114 40 153 29 34 31 25 153 33 55 4 61 147 147 2 1 12 19 44 61 41 41 41 45 67 67,1
22,307 182 146 163 7 15 35 37 103 23 8 19 2 15 51 4 9 128 365 47 26 5 28 379 15 120 112 33 365 47 622 50 117 47 56 147 41 90 15 42 58 520 223 132 338 2 15 32 5 421 372 137 120 365 47 15 73 488 570 2 5 8 97 15 154 42 190 456 834 8 74,1
23,24 206 157 177 300 425 158 123 58 78 235 891 301 90 6 24 206 157 90 1059 872 165 158 123 58 78 319 59 137 90 6 24 206 157 1193 1217 862 713 321 158 123 58 78 753 846 8 19 438 337 6 24 206 157 199 393 1483 64 481 674 158 123 58 78 975 938 408 408 8 1223 64 6,0
24,898 351 140 83 19 63 94 83 19 244 72,1
25,73 188 8 110 104 172 37 319 259 46 8 79 15 75 4 127 151 13 5 66 14,1
26,13 17 3 469 469 322 944,1
27,13 17 13 316 46 1 750 13 174 849 178 6,1
28,11 23 7 15 5 4 229 27 229 285 14,0
29,35 37 42 60 51 42 23 28 758 1137 540 7 2545 1 30 103 28 4 430 55 2 6 6 30 9 804 525 321 140 48 48 48 48 11 903,0
30,215 99 355 522 5 995 142 150 28 68 7 1 30 9 8 150 23 203 2 1 188 8 49 237 255 146 24 32 4 8 97 3 1804 685 1543 140 10,0
31,342 102 387 358 13 248 44 1 75 4 308 88 86 8 249 18 316 593 387 358 1443 599 202 1444 203 1199 1 9 79 483 59 164 375 7 6 100 1009 7 13 45 665 64 1 75 4 107 124 166 100 190 1009 128 164 100 228 743 82 291 1199 2 243 551 1 11 103 100 32 47 1009 65 218 45 1 154 42 20 423 100 126 219 39 292 271 580 599 202 203 1199 2 228 743 13 45 1 98 174 387 358 178 26 5 4 152 57 125 248 44 2 8 19 1 98 11 103 100 123 154 42 100 8 249 18 50 174 387 358 599 202 203 1199 178 176 134 20 4 60 7 143 126 219 450 19 199 2 346 647 37 105 403 126 219 2 483 320 1 107 124 30 9 12 19 387 358 599 202 203 1199 1 579 145 130 579 4 680 57 490 6 3 3 3 24 280 36 51 42 1 75 4 640 572 212 91 2 283 387 358 152 203 599 202 203 1199 2 91 181 228 743 10,0
32,82 392 156 8 249 9 2394 2349 139 230 1 423 332 193 2 569 325 39 30 268 139 325 17 504 12 35 36 166 11 192 393 229 37 392 156 4 107 280 2 9 534 73 151 479 10 36 57 2 183 225 134 122 2 332 193 186 101 56 1 115 32 51 42 203 60 8 19 1566 90 182 1566 10,1
33,84 69 202 93 85 1192 110 7 227 10 10 11 23 2 307 28 20 431 7 371 464 10 10 166 27 208 40 330 351 596 10 42 58 26 208 40 23 596 10 10 5 1013 10 10,0
34,966 199 116 81 5 933 56 1 415 46 106 5 44 23 7 1 966 199 116 81 307 65 11 20 23 7 1 42 133 23 209 5 45 380 640 464 284 1 18 416 1861 394 1233 1824 886 566 261 23 1 5 145 4 644 95 653 816 2 163 180 26 4 114 40 1 105 268 752 625 392 238 637 2 49 220 20 126 200 335 81 6,0
35,395 5 4 221 370 1024 86 133 96 15 98 4 394 49 96 15 30 9 154 44 490 2 398 700 1364 700 88 86 15 291 161 76 311 311 96 32 191 18 27 96 32 191 15 75 5 4 103 44 2 15 32 30 9 481 528 2 1071 2383 258 1 50 393 7 1 5 191 10,0
36,207 110 31 142 2 216 20 350 1588 147 207 1 12 194 192 4 31 147 2 93 170 865 10 316 543 44 490 84 69 431 93 10,1
37,12 352 116 81 13 17 93 1429 277 204 6 253 4 486 801 2 223 994 1 218 51 309 2 4 380 464 95 653 404 81 381 1 13 262 455 12 97 2 81 618 6 602 103 2 582 442 179 47 60 56 601 74 280 365 1029 1 134 122 88 428 6 26 9 238 279 46 448 522 581 217 743 224 251 251 55 35 355 224 210 1 11 58 189 19 269 23 2 252 133 23 2 9 489 255 7 218 27 286 475 7 6 308 123 423 23 390 488 570 9 557 19 7 227 6,1
38,5 302 384 280 36,0
39,13 811 952 952 2 36 1 5 80 92 1 19 27 419 60 5 198 52 10,0
40,42 133 32 832 59 266 29 22 22 141 2 925 401 735 1 4 250 545 56 160 920 1997 2 48 12 8 352 5 66 48 13 370 221 11 48 48,1
41,133 8 19 45 269 690 2 417 68 1 28 77 18 352 1214 30 9 417 74 37 1 632 4 363 135 532 417 255 1197 7 10 415 143 8 19 50 225 140 10 10 10,0
42,11 35 37 26 42 60 4 156 432 95 652 183 72 2 47 336 11 126 219 254 95 386 1 154 42 20 23 7 6 23 7 42 58 182 105 77 12 4 176 524 340 268 183 72 2 171 177 1 46 45 171 177 26 4 44 1135 23 2 6 9 79 291 161 35 37 103 417 2 1 103 103 26 4 325 7 227 231 231 24 8 74 26 4 47 156 28 8 79 171 177 2 231 231,0
43,36 2 94 129 73 263 426 39 13 5 66 3 3 11 13 396 187,1
44,125 586 110 1609 113 1092 211 1227 83 40 731 6 13 4 60 100 89 88 28 168 139 498 530 592 77 356 27 32 69 37 69 387 1516 73 91 101 7 498,1
45,11 343 293 4 18 71 648 239 19 269 2 49 220 11 143 313 354 2 6 313 13 80 92 6 11 143 313 233 59 123 58 1 312 90 39 44 11 143 313 240 6 246 83 49 172 313 32 82 305 256 5 190 1683 863 6 228 60 42 133 11 143 313 233 305 144 386 2 262 293 358 353 49 313 39 5 166 233 6 77 18 312 90 39 24 2 1274 1274 9 446 6 152 102 24 95 346 49 237 44 370 152 6 5 102 370 52 164 409 617 6,0
46,12 110 118 53 31 324 124 1017 5 66 2 1 334 44 26 912 9 53 112 434 58 2 424 1176 1 104 252 1013 10,1
47,42 133 82 84 69 175 88 86 26 51 42 1 133 189 90 23 7 8 19 1268 826 783 584 118 197 116 81 1 56 214 90 58 105 77 87 72 9 13 45 212 27 2 116 81 321 739 1 326 263 26 5 143 417 68 1 18 1221 490 212 2 1570 2071 558 777 236 49 1 190 32 5 37 12 87 23 171 177 7 1,0
48,333 90 246 84 69 175 716 354 261 2 486 613 116 81 62 71 239 28 7 1 642 27 378 1165 2 4 395 30 9 154 50 2 132 63 365 47 1 98 11 24 57 2 181 4 12 79 140 1 1 1 1 1 1,0
49,91 2 4 13 45 17 155 2 359 221 678 1 13 45 39 13 99 265 1 342 102 11 19 27 82 160 100 5 4 272 212 88 500 534 1 75 4 12 110 46 216 11 86 52 26 4 13 9 132 323 93 198 2,1
50,23 235 37 58 1 134 122 396 187 6 36 113 216 2 94 129 39 13 17 1 914 1541 179 2 743 94 480 82 8 471 6 117 4 704 765 5 145 130 312 687 204 144 2 914 1541 179 4 579 67,0
51,130 381 2 17 36 518 160 37 7,1
52,70 197 4 70 197 242 1162 4 242 1162 415 556 295 5 44 50 70 197 4 57 108 2 242 1162 70 197 541 7 223 589 411 242 1162 9 79 241 530 223 329 2 1616 139 391 299 39 4 126 219 168 105 2 98 164 411 242 1162 223 457 241 530 2 81 64 779 413 606 113 232 438 30 9 40 60 114 40 20 2257 493 100 89 223 589 411 242 1162 241 530 98 20 5 2257 493 70 197 223 589 411 242 1162 241 530 67 223 108 2 269 669 308 4 104 57 108 2 1353 376 376,1
53,123 133 9 24 59 110 1579 102 2 171 177 15 9 128 88 86 15 104 915 1308 17 45 7 14 12 35 36 15 510 72 176 692 4 810 467 27 2 15 28 116 123 58 587 187 374 7 8 74 15 20 86 52 9 351 526 2 88 86 14 289 1701 8 79 50 15 12 35 36 20 4 110 1579 102 390 348 2 437 2798 556 295 165 437 15 390 169 8 1242 121 615 27 15 199 813 631 405 2 695 180 15 1246 2477 65 8 514 514 144 238 15 737 755 39 5 107 2 127 151 15 383 203 36 35 2 223 994 14 228 60 5 217 199 813 631 15 9 509 129 2 144 238 51 42 1702 441 15 154 42 12 35 36 2 144 238 978 5 38 94 129 14 3 3 24 206 188 8 687 15 376 15 1202 94 243 328 495 188 380 687 15 972 102 4 1202 94 243 328 495 5 208 40 97 2 240 36 698 425 231 231 587 58 1155 168 7 1 11 208 40 23 7 12 97 8 35 36 10 10 10 10 10 10,0
54,415 163 12 19 4 5 4 1164 200 202 373 81 67 67,1
55,332 193 479 56 1 17,1
56,38 509 204 553 65 135 2 200 244 131 39 13 99 265 1 75 4 12 87 39 5 185 1 298 161 309 175 45 255 8 128 1 1289 76 76 76 76 76 76,0
57,18 3972 945 24 144 49 237 5 381 1 12 4 11 125 80 92 2 109 135 123 8 1 47 429 166 11 2 184 1652 587 169 382 201 2 105 767 98 427 475 1 98 186 1 725 343 334 2 127 139 460 513 2 996 257 32 166 11 88 86 109 179 2 698 303 327 316 1 996 839 28 379 1 80 92 12 214 19 27 1 32 80 92 100 89 154 441 720 2 12 234 159 368 183 405 1 117 4 86 52 9 79 938 953 1 1023 4 12 234 938 953 47 429 523 523 314 781 893 673 356 20 17 7 6 2193 161 65 36 1 2193 161 116 87 1471 169 101 279 36 1 116 1471 8 1253 714 3973 1 1352 18 106 87 2 1071 2738 87 24 169 1 73 111 1095 113 257 187 8 172 938 953 8 172 781 893 1 8 172 279 446 159 368 2 1913 446 1 88 428 46 46 166 11 240 7 12 97 8 687 204 144 1 91 2 17 80 92 6,1
58,80 92 123 537 10 480 82 2 101 56 10 435 612 32 13 289 204 6,1
59,12 19 923 183 116 88 13 17 1 5 104 43 119 148 29 53 2 209,1
60,111 2 26 91 5 46 14 14 14 429 233 79 1482 1158 46 2 73 607 340 1252 420 8 97 46,1
61,11 215 99 24 206 7 61 454 137 14 251 5 465 185 165 24 206 18 257 328 320 7 10 91 2 4 8 35 17 36 1 289 1701 113 101 56 1 198 52 409 418 2034 1128 6 82 160 103 18 201 397 73 159 368 38 218 38 8 926 1022 2 362 296 1 8 202 47 429 340 59 12 35 36 52 28 1014 46 2 563 654 73 840 1054 10,1
62,518 160 38 1033 628 48 48 62 25 62 25 14 14,1
63,235 146 24 7 1 118 53 31 2 244 94 1 75 4 93 170 104 252 264 412 6 5 18 592 93 170 2 173 1 422 458 23 31 118 31 55 35 2 6,0
64,1555 932 1494 83 110 216 133 470 165 194 2 247 63 5 271 580 1 164 57 9 8 514 248 63 1 233 28 58 470 165 194 20 181 122 7 6,0
65,24 7 12 165 111 50 189 90 139 184 473 473 5 47 394 418 1 91 4 8 165 499 792 2 46 1389 1 27 277 498 306 738 498 66 1399 418 737 2 347 184 39 1437 753 109 179 2 139 399 387 1516 42 465 144 1091 288 1332 504 144 57 954 1107 65 2 975 109 504 796 204 504 781 893 1 517 1051 504 1257 896 1 480 161 504 42 465 2193 161 504 192 145 5 4 288 749 2 288 749 1 166 27 139 184 1316 1051 1 473 473 60 123 929 1156 504 3 75 32 4 12 234 204 166 11 425 52 115 504,1
66,11 42 60 4 467 255 2 1931 2541 2091 380 2 424 297 242 792 1020 1 229 37 253 4 624 2 24 530 499 792 2 608 650 68 6 6 1195 6 378 476 7,0
67,277 327 154 198 596 15 342 102 215 9 463 515 55 15 75 26 4 44 132 323 8 278,1
68,574 1219 2 53 31 70 21 116 81 1148 441 1031 195 5 4 13 46 1 12 352 116 81 246 286 47 28 223 457 1 1159 47 396 588 8 402 367 56 564 490 6 12 19 93 170 26 4 82 52 172 2 1 667 164 4 223 994 1 13 1206 101 6,1
69,8 249 13 80 92 10,1
70,12 4 8 35 370 221 106 1105 908 424 362 296 2 17 36 1 424 2556 2 234 491 13 45 1 106 1105 2925 3313 2 230 103 56 36 6,1
71,354 7 1 253 417 7 1 26 4 88 86 5 85 198 52 132 323,0
72,104 252 80 92 12 19 491 618 2 1407 1338 300 304 6 196 136 5 66 6 334 44 4 264 412 13 748 325 6 44 4 181 55 39 12 19 93 20 1139 14 1139 48,1
73,11 419 60 12 35 36 125 46 2 93 198 18 160 329 60 11 89 230 286 195 399 456 73 194 964 546 443 191 60 246 98 1270 805 164 127 18 858 991 355 825 7 8 234 399 558 2 433 585 6 75 538 406 230 320 516 164 129 117 4 8 72 1074 64 1 1044 654 12 72 1074 64 329 47 367 11 89 218 271 580 195 24 271 126 219 2 399 103 73 191 60 395 322 42 489 181 6 75 5 571 208 40 50 1074 64 87 72 2 171 177 837 462 26 4 1123 1138 2 243 217 1 272 212 4 82 160 546 443 12 97 8 19 191 397 1 796 9 101 1562 182 47 763 65 91 35 983 10,1
74,1221 7 493 473 1 518 160 722 28 832 1213 64 2 250 295 6 3 3 3 3 3 3 333 905 9 1310 1 211 168 21 3 153 29 33 62 138 119 54 3 153 21 141 2 53 31 420 1 168 439 8 317 8 317 2 1679 96 6 3 3 3 3 3 3 343 334 285 1089 229 9 378 176 303 2 247 63 168 439 78 166 27 86 52 391 1781 1781 113 1504 592 592 1 9 234 2420 460 2 88 86 6 75 69 436 125 58 1 69 47 279 78 28 164 82 159 368 2 775 28 455 260 297 279 78 6 3 3 3 3 3 3 615 210 2 1096 79 1 556 373 289 204 2 1305 100 556 258 1 218 949 1659 7 408 110 250 295 2 1453 303 6 3 3 3 3 3 3 21 3 153 29 33 62 138 119 54 3 153 21 141 4 188 8 421 258 1 92 210 98 712 9 3699 3700 2 1690 168 408 110 250 295 2 804 434 1 96 49 51 42 3701 172 660 1295 113 634 1426 1 2374 2029 169 449 1098 18 195 821 38 37 235 2 111 832 1 330 169 4 33 25 54 31 29 16 43 1 9 169 166 11 337 404 42 473 98 123 133 721 9 27 1936 723 2 358 684 113 63 895 113 285 375 1 1119 1979 18 111 111 2 396 588 123 57 1 96 206 3702 256 1072 2 33 25 70 16 22 29 70 16 33 1 21 3 138 21 266 16 43 1 21 34 29 70 21 54 3 138 21 710 16 34 31 21 1 74 37 264 4 126 219 125 741 242 2 153 62 16 34 3 29 3 22 62 29 34 266 3 25 138 3 141 25 119 1 8 514 8 514 2 285 375 468 139 184 751 767 168 37 1 82 787 388 2 480 1134 88 1141 314 767 77 52 1772 1809 610 600 6 3 3 3 3 3 3 13 45 362 296 50 33 62 16 12 317 155 4 334 285 1089 229 2 19 27 257 550 452 4 313 2 126 11 337 404 1 11 419 60 32 493 12 4 8 234 400 1425 1 5 274 4 82 160 8 19 343 310 64 2 487 257 1 98 4 82 8 491 27 452 4 8 356 27 2 1969 1490 6 3 3 3 3 3 3 330 74 37 4 712 9 128 1147 674 1138 276 565 2 138 43 21 120 29 54 16 3 29 34 33 29 31 16 1 816 2537 587 187 2 358 684 1 1071 348 2029 449 2 2017 285 1 587 169 83 561 174 33 25 70 16 22 29 70 16 33 3 153 16 3 469 119 33 22 3 53 21 34 1601 22 3 120 25 3 148 54 29 34 31 15 3 138 25 43 3 153 16 3 21 43 16 3 21 54 54 3 138 43 21 120 29 54 16 3 29 34 33 29 31 16 14 178 2 285 375 2767 102 98 995 1 166 27 86 52 258 57 91 446 6 3 3 3 3 3 3 19 27 86 52 22 43 141 3 22 25 4 408 110 250 295 57 125 390 9 776 88 176 1328 593 64 2 8 317 155 1 530 592 5 46 895 221 12 110 53 31 2 308 279 184 593 1 32 493 4 334 285 1468 334 762 2 1089 229 318 446 63 149 2 19 27 111 109 135 1 198 52 8 355 2 4 12 8 317 241 152 9 446 130 1 555 96 5 1026 186 9 234 283 96 169 390 169 715 74 1400 2 88 86 6 3 3 3 3 3 3 288 1351 258 4 33 153 29 70 1 13 45 362 296 328 93 252 224 2 8 421 258 1 667 164 4 83 561 174 29 3 53 25 119 54 31 3 33 153 29 70 3 29 34 3 141 25 119 43 3 43 29 118 16 43 1 29 34 3 141 25 119 43 3 25 53 16 21 34 178 1 11 103 1 164 101 270 885 1130 88 2 11 89 5 564 44 468 85 45 2 201 184 297 242 184 602 315 18 8 172 1 117 4 146 330 351 1 117 4 146 88 145 231 231 3 3 3 3 3 3 13 45 63 149 646 646 4 17 96 1 9 128 117 4 1579 634 1 98 832 1213 64 63 149 2 65 276 218 18 160 329 2 286 708 1 334 285 297 1305 100 116 2 762 109 47 303 166 27 88 28 869 80 1 18 277 1277 1894 1599 2 333 90 1 298 161 47 96 28 218 45 286 708 2 247 63 6,1
75,189 19 53 31 81 39 233 5 65 10 44 490 417 68 10,0
76,244 94 1 324 124 5 66,1
77,229 37 61 61 147 294 211 325 261 23 1 333 90 800 93 7 1 117 17 673 519 7 10 44 485 372 93 170 1479 202 140 10,0
78,8 19 238 222 650 497 214 19 238 222 327 650 497 232 19 238 222 134 122 650 6,0
79,307 65 37 2 49 220 15 312 769 61 239 294,0
80,155 73 1357 684 39 5 66 1 20 4 704 765 2 4 5 4 229 285 1 324 124 46 211 685 1001,0
81,13 289 565 2 567 359 1 198 52 132 323 6 196 136 435 612 13 844 669 1 5 59 411 188 8 165 8 97 1 420 64 74 72 1504 2 789 72 1153 13 319 541 691 1116 1 164 101 83 19 167 36 889 2 576 501 718 206 185 30 590 44 1504 18 38 72 1 510 18 87 72 20 191 7 1 789 72 1153 101 18 13 319 440 230 6,1
82,117 24 7 8 150 1 5 47 56 7 1 430 55 2,0
83,343 362 296 44 23 2 10 127 151 8 402 10,0
84,5 4 554 780 108 27 240 2 1 98 186 39 4 8 128 13 213 2 8 278 1 36 35 2 435 612 94 129 32 5 17 6 422 458 46 106 56 157 168 139 156 780 256 158 6,0
85,247 63 13 46 10 3 133 72 2 175 72 17 217 44 707 52 542 74 37 8 97 10 3 93 170 342 102 264 412 1 51 26 4 5 198 52 10,0
86,42 133 71 90 798 785 20 28 68 7 1 12 150 11 74 2 322 927 2 678 1 26 5 455 243 64 290 10 10 298 161 11 2 363 135 51 42 210 79 10 10,0
87,210 820 196 136 104 252 1479 2680 1 154 42 36 30 9 351 875 6 36 2 410 94 865 73 11 42 133 18 36 566 23 2 305 144 229 55 36 209 5 45 6 26 30 168 439 24 1 75 516 396 337 404 6 5 59 1 188 8 23 154 761 2 679 129 55 36 986 1 622 50 679 129 894 323 55 282 292 9 556 321 1 51 4 11 30 24 28 539 257 2 9 556 321 67 32 30 24 28 305 144 463 533 679 129 105 191 6,1
88,282 292 50 12 35 36 2 9 128 457 79 454 183 225 454 455 260 26 4 5 66 2 14 51 163 180 4 15 11 86 52 15 35 36 127 151 85 262 15 50 230 73 320 839 32 85 662 802 7 14 152 102 15 115 51 42 50 15 126 654 491 36 334 44 353 2 20 4 60 7 355 760 454 489 427 126 11 15 117 44 355 825 332 1396 249 457 9 324 2 183 225 73 320 839 782 51 14 32 493 227 15 117 4 12 97 2 36 85 45 7 14 520 223 15 35 36 2 58 214 756 56 7 468 586 8 470 2 687 1286 357 839 7 82 13 45 122 455 452 5 122 455 2261 794 2 139 230 194 964 452 1051 522 630 611 14 11 88 86 13 4 807 338 140 14 152 102 15 11 4 42 61 71 14 142 294 478 46 813 4 142 142 685 472 23 2 15 625 12 19 93 170 37 50 15 32 20 209 316 27 187 7 14 152 102 15 455 1374 455 968 15 312 19 27 457 88 5 236 15 11 117 4 50 50 11 126 219 2 24 225 14,0
89,13 1813 1252 213 1739 236 156,1
90,135 94 5 66 1 94 129 411 18 327 388 250 1394 24 28 2 8 97 6 8 611 80 92 217 54 25 53 266 512 54 25 53 266 12 97 2 289 135 1 363 306 87 350 2 93 170 85 224 7 1 103 5 28 175 38 264 412 17 45 1 98 186 4 910 420 1700 1 26 51 42 167 27 617 6,1
91,5 66 76 76 5 59 87 72 9 128 281 63 30 9 243 1132 17 15 665 107 527 2809 903 437 1118 929 90 572 648 76 76 76 437 31 118 31 87 20 30 1970 76 76,0
92,307 168 439 32 4 1056 169 17 318 2 139 598 23 12 35 36 2 6 24 7 123 58 1 389 101 86 52 12 35 36 5 66 1 20 152 109 4 949 381 145 531 32 4 17 2 6 773 462 451 205 12 19 171 177 57 108 27 105 192 2 1 60 114 40 77 18 164 100 8 128 108 106 385 283 329 152 109 4 8 545 156 664 940 837 1 98 11 89 57 108 27 385 283 213 1747 1399 740 74 37 2 171 177 152 109 4 614 268 290 67 10,1
93,12 4 11 188 8 150 18 175 38 23 95 243 1 216 2 94 230 85 209 7 6 411 35 24 5 7 1 44 5 4 12 216 30 45 284 1 44 4 309 2 173 11 8 202 44 115 143 11 383 8 110 6,0
94,345 235 106 82 104 293 64 2 336 156 390 15 63 94 209 547 7,0
95,254 7 214 121 578 300 1 146 59 13 45 195 183 1 146 8 150 214 150 2 2154 5 699 50 114 40 51 4 9 2 738 79 73 787 388 11 20 411 126 219 106 530 2 1 206 185 976 3122 6 126 219 1113 300 571 230 250 397 1 146 59 394 1728 73 557 386 709 13 45 150 1 36 38 208 40 283 85 229 394 1728 557 386 709 996 839 203 7 83 19 780 191 6 77 18 18 1233 771 254 1113 300 1 36 38 2 8 128 457 79 73 24 225 13 45 39 4 19 27 2 88 351 1 5 47 109 60 51 42 243 551 46 747 2 268 752 143 27 24 6 13 45 127 151 726 187 2098 875 7 8 19 787 388 952 1562 7 8 131 451 738 6 6 6 82 160 724 340 73 818 2101 2 488 570 32 166 27 13 5 396 187 1 107 124 50 126 654 2 173 1 331 724 268 752 51 47 4 8 19 51 673 123 440 6 6 126 219 188 8 150 23 12 234 36 1 9 79 291 161 6 1217 483 1 9 79 802 1 556 2 85 934 802 1 307 377 545 496 2 6 6 154 761 2 738 79 93 198 2 1109 2203 328 1449 126 219 463 1114 13 3 438 496 6 6 6 903 1 1 1 5 326 457 1 746 436 9 79 1004 853 6 6 8 128 199 2 130 652 724 340 268 752 30 9 218 199 1 152 102 4 50 18 329 36 65 55 123 133 189 19 269 452 179 218 532 2 724 340 184 688 6 6 26 9 1 30 9 409 1086 65 8 128 195 183 1113 300 770 79 2 427 475 1 9 2 777 186 753 123 60 738 79 2 171 177 4 5 4 143 7 65 55 668 13 45 2 284 182 38 2 36 140 3 1 594 595 2 5 47 190 594 595 2 171 177 32 9 8 46 1246 6 6 6 8 561 173 1 5 326 457 1 5 199 1066 6 6 5 101 56 6 6,0
96,50 2 1813 87 907 1287 2 6 5 145 164 154 1006,0
97,91 2 13 9 534 1 302 230 73 1449 657 221 380 60 8 6 312 59 8 335 39 4 82 126 219 2 8 150 1148 635 6,0
98,8 24 20 4 101 482 179 182 47 257 2 65 2 36 1 7 5 172 6 678 2100 649 130 65 7 1052 225 2 91 2631 1 32 4 460 237 2 8 703 91 2631 6 4 8 165 101 482 2 311 265 6 166 11 89 407 246 521 1055 46 459 2 222 401 4 3245 355 1172 1 139 1023 192 1074 386 1 49 49 2113 3038 3246 1 2701 42 2339 1627 1749 2 377 460 225 482 172 6 190 28 1367 47 46 459 2 222 3245 355 35 176 1172 1 192 1074 1333 134 386 1 35 37 176 8 277 1 406 42 2339 1627 1749 2 65 460 225 37 72 82 12 19 557 2472 876 460 227 6 115 78 13 271 1116 2 6,1
99,13 80 92 12 165 111 50 1 12 19 55 35 2 374 484 32 13 17,1
100,5 320 115 114 40 49 220 168 439 15 248 44 2 4 168 439 123 58 20 5 44 974 995 495 5 320 115 114 40 49 220 288 1351 15 248 44 2 4 288 1351 123 58 20 5 44 58 676 76,1
101,415 556 295 322 316 250 397 156 432 1 436 262 32 44 254 128 548 706 2 649 82 433 109 6,0
102,73 199 499 36 566 2 206 185 8 97 1 93 170 264 412 1 26 167 68 38 545 1 389 101 5 66 6,1
